"","Symbol","A13A"
"1","A1BG",6.82409789188257
"2","A1BG-AS1",5.73857028521032
"3","A1CF",12.1030527358825
"4","A2M",16.3246122104485
"5","A2M-AS1",7.85532206477726
"6","A4GALT",11.1061413849036
"7","A4GNT",6.38216736918173
"8","AAAS",10.9778410816461
"9","AACS",10.4020761252473
"10","AACSP1",7.1448909319765
"11","AADAT",9.39072281101895
"12","AAED1",8.08068020562118
"13","AAGAB",10.7065936008912
"14","AAK1",13.6338818732302
"15","AAMDC",9.09277523654796
"16","AAMP",12.0555192977037
"17","AANAT",5.49725785778433
"18","AAR2",10.621804299842
"19","AARD",6.49440342013752
"20","AARS",12.8147174972515
"21","AARS2",11.0455421018229
"22","AASDH",9.85151231821081
"23","AASDHPPT",10.2141438616385
"24","AASS",12.5147766742268
"25","AATBC",7.99996327155258
"26","AATF",11.0155832168565
"27","AATK",9.56126431257797
"28","ABALON",7.76706713121147
"29","ABAT",14.6398609940179
"30","ABCA1",13.2516309510493
"31","ABCA10",9.79014160721871
"32","ABCA11P",8.30621478360021
"33","ABCA12",7.45439058501553
"34","ABCA13",5.32409480891804
"35","ABCA2",12.6990484740562
"36","ABCA3",11.0883973304008
"37","ABCA4",8.08755668055758
"38","ABCA5",11.1017197378422
"39","ABCA6",10.6734436754824
"40","ABCA7",10.888408787457
"41","ABCA8",12.1030527358825
"42","ABCA9",10.2665107289184
"43","ABCB1",12.9474206686898
"44","ABCB10",10.2265805343831
"45","ABCB4",7.44387790591127
"46","ABCB6",10.6959332141857
"47","ABCB7",10.4301215997752
"48","ABCB8",11.5991213452742
"49","ABCB9",8.85924004170742
"50","ABCC1",11.8417055270663
"51","ABCC10",11.3727946191285
"52","ABCC11",3.80996349472073
"53","ABCC2",13.2340452599902
"54","ABCC3",11.1119203940043
"55","ABCC4",12.4691696338454
"56","ABCC5",11.8634615465263
"57","ABCC6",13.6739787772934
"58","ABCC6P1",9.85749150855501
"59","ABCC6P2",8.67948506433621
"60","ABCC8",6.06039496956038
"61","ABCC9",11.3062979388471
"62","ABCD1",10.4659985534636
"63","ABCD2",7.47510935845952
"64","ABCD3",12.1317577180022
"65","ABCD4",12.0943281475875
"66","ABCE1",10.1119922555928
"67","ABCF2",11.2100027333724
"68","ABCF3",11.629416633969
"69","ABCG1",10.7579663666105
"70","ABCG2",8.9569528417632
"71","ABCG5",5.9978895122841
"72","ABCG8",3.37649510488166
"73","ABHD1",7.45439058501553
"74","ABHD10",11.2563869323952
"75","ABHD11",10.3386915849459
"76","ABHD11-AS1",5.69487749649034
"77","ABHD12",11.3630764481428
"78","ABHD13",9.09677651204386
"79","ABHD14A",9.41567433548551
"80","ABHD14B",12.6150063110823
"81","ABHD15",11.3350450138703
"82","ABHD16B",8.86367432336361
"83","ABHD17A",10.8796543882684
"84","ABHD17B",9.72710752019905
"85","ABHD17C",9.19972831345827
"86","ABHD18",10.1950924146229
"87","ABHD2",13.3836428146955
"88","ABHD3",9.02492193361176
"89","ABHD4",11.0650296515841
"90","ABHD5",9.88760419607525
"91","ABHD6",11.62653305149
"92","ABHD8",9.65747153145306
"93","ABI1",11.1944021874797
"94","ABI2",12.2433791020956
"95","ABI3",9.32844518022997
"96","ABI3BP",11.25801498489
"97","ABL1",12.6091053861728
"98","ABL2",11.7232499012497
"99","ABLIM1",13.7419602967609
"100","ABLIM2",9.50599008774538
"101","ABLIM3",11.5715540826615
"102","ABO",10.7082894933476
"103","ABR",12.8763051628204
"104","ABRA",6.1128374033675
"105","ABRACL",8.76453141694856
"106","ABT1",9.4098595556838
"107","ABTB1",10.7849993815886
"108","ABTB2",11.3506418573379
"109","ACAA1",14.0041979501042
"110","ACAA2",13.8885506405541
"111","ACACA",11.9130655717505
"112","ACACB",13.5120402678502
"113","ACAD10",12.4958241723206
"114","ACAD8",11.6213875800432
"115","ACAD9",11.4352750150012
"116","ACADL",10.4264562994544
"117","ACADM",12.4305411071397
"118","ACADS",11.5997119587684
"119","ACADSB",13.9425232316849
"120","ACADVL",14.3396483877983
"121","ACAN",9.74201348349951
"122","ACAP1",10.0770337847385
"123","ACAP2",11.0634466327639
"124","ACAP3",11.7985365185581
"125","ACAT1",13.7560095981113
"126","ACAT2",9.21331787803925
"127","ACBD3",10.8613289893726
"128","ACBD4",11.3250588219262
"129","ACBD5",11.5374670428816
"130","ACBD6",10.135810215227
"131","ACCS",9.75690014786949
"132","ACD",9.487481200213
"133","ACE",13.2391535933534
"134","ACE2",13.1240532801163
"135","ACER2",8.27181650279624
"136","ACER3",10.5582854896072
"137","ACHE",7.19173604566544
"138","ACIN1",12.9905928976909
"139","ACKR1",7.73796779995114
"140","ACKR2",7.41171554739922
"141","ACKR3",8.75985137239738
"142","ACKR4",7.79919062925491
"143","ACLY",13.6226475590803
"144","ACMSD",11.9713098319429
"145","ACO1",14.1909009692185
"146","ACO2",14.0709969832766
"147","ACOT1",9.17686178097636
"148","ACOT11",12.028236205235
"149","ACOT12",8.57737076230352
"150","ACOT13",11.4994847573914
"151","ACOT2",11.5817875881983
"152","ACOT4",9.18697650711619
"153","ACOT6",7.10594021653048
"154","ACOT7",11.7399316191722
"155","ACOT8",9.76450580071934
"156","ACOT9",10.3145229258842
"157","ACOX1",13.8108708615516
"158","ACOX2",12.8204780825501
"159","ACOX3",10.8348912085461
"160","ACOXL",4.61145334392927
"161","ACP1",11.1600022453714
"162","ACP2",11.5127447714923
"163","ACP5",13.0979362631887
"164","ACP6",10.8348912085461
"165","ACPP",10.2883798827076
"166","ACPT",5.87610422710403
"167","ACRBP",7.47510935845952
"168","ACSBG1",6.53369856981529
"169","ACSBG2",7.01370275133509
"170","ACSF2",14.4643402976887
"171","ACSF3",11.3972280052792
"172","ACSL1",14.2502261170728
"173","ACSL3",11.1109203801902
"174","ACSL4",12.0773703810281
"175","ACSL5",9.57580322085144
"176","ACSL6",8.66314092203657
"177","ACSM1",7.70601978727036
"178","ACSM2A",15.242799982849
"179","ACSM2B",14.6887677742112
"180","ACSM3",11.925294162735
"181","ACSM5",10.7561600812191
"182","ACSM6",7.30388492908398
"183","ACSS1",12.2457504161449
"184","ACSS2",13.0647234099631
"185","ACSS3",12.3358756299609
"186","ACTA1",3.53828715327242
"187","ACTA2",11.6709980407433
"188","ACTA2-AS1",7.80825263764732
"189","ACTB",16.1981506175293
"190","ACTC1",5.40755456601902
"191","ACTG1",15.4908142238195
"192","ACTG1P20",7.97019448707111
"193","ACTG1P4",7.49395938529444
"194","ACTG2",3.68551810335607
"195","ACTL10",8.45407215426452
"196","ACTL6A",9.43341531790098
"197","ACTN1",12.259994068235
"198","ACTN2",5.10462056414067
"199","ACTN3",4.61145334392927
"200","ACTN4",15.0353744155022
"201","ACTR10",10.5278569303155
