gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,
hsa-miR-3139,1.93688687,-3.893691916,2.136710974,-1.822282922,0.068412068,0.694462852,,,1.006797607,,,,,,
NovelmiRNA-997,21.28472598,-3.876569677,2.204629905,-1.758376618,NA,NA,,,1.006797607,,,,,,
NovelmiRNA-509,20.86324626,-3.872288943,2.204739126,-1.756347904,NA,NA,,,1.006797607,,,,,,
NovelmiRNA-155,17.49140848,-3.832334691,2.205759292,-1.737421986,NA,NA,,,1.003259722,,,,,,
hsa-miR-7851-3p,2.361951826,-3.828827975,2.158847869,-1.773551546,0.076137358,0.694462852,,,1.002329012,,,,,,
hsa-miR-3138,2.950358057,-3.814910838,2.172183263,-1.756256437,0.079044632,0.694462852,,,1.001903885,,,,,,
NovelmiRNA-475,2.950358057,-3.814910838,2.172183263,-1.756256437,0.079044632,0.694462852,,,1.001903885,,,,,,
NovelmiRNA-949,15.82243405,-3.808373742,2.206371624,-1.726079913,NA,NA,,,1.001720902,,,,,,
NovelmiRNA-339,15.52942601,-3.803667326,2.206491936,-1.723852811,NA,NA,,,1.001720902,,,,,,
NovelmiRNA-883,2.80008535,-3.778888154,2.174760663,-1.737611047,NA,NA,,,1.000378001,,,,,,
NovelmiRNA-584,13.90883084,-3.774265936,2.20724371,-1.709945267,NA,NA,,,1.000304994,,,,,,
NovelmiRNA-275,2.783576361,-3.762106912,2.176136439,-1.728801028,NA,NA,,,0.985686746,,,,,,
NovelmiRNA-4,2.672808743,-3.718472163,2.179336835,-1.706240221,NA,NA,,,0.971662873,,,,,,
NovelmiRNA-67,2.739618196,-3.716160283,2.179735723,-1.704867358,0.088219165,0.694462852,,,0.960565748,,,,,,
NovelmiRNA-595,2.739618196,-3.716160283,2.179735723,-1.704867358,0.088219165,0.694462852,,,0.958865154,,,,,,
NovelmiRNA-875,2.739618196,-3.716160283,2.179735723,-1.704867358,0.088219165,0.694462852,,,0.957767955,,,,,,
NovelmiRNA-244,2.637072342,-3.692315891,2.181356805,-1.692669389,NA,NA,,,0.957767955,,,,,,
NovelmiRNA-687,2.637072342,-3.692315891,2.181356805,-1.692669389,NA,NA,,,0.957767955,,,,,,
NovelmiRNA-32,10.3262532,-3.688207765,2.209444309,-1.669292025,NA,NA,,,0.955100068,,,,,,
NovelmiRNA-919,2.028098808,-3.682696187,2.169415966,-1.697551896,0.089592368,0.694462852,,,0.952946498,,,,,,
NovelmiRNA-1192,2.545532137,-3.65617606,2.183915681,-1.674137922,NA,NA,,,0.948506223,,,,,,
NovelmiRNA-1017,9.229753196,-3.653908128,2.210320512,-1.653112346,NA,NA,,,0.948506223,,,,,,
hsa-miR-6875-5p,1.984285456,-3.643941312,2.172884557,-1.677006402,0.09354123,0.694462852,,,0.948506223,,,,,,
NovelmiRNA-488,8.640334311,-3.630943826,2.210906538,-1.642287344,NA,NA,,,0.948506223,,,,,,
NovelmiRNA-749,1.897236969,-3.62823555,2.173482185,-1.669319204,0.095054136,0.694462852,,,0.948506223,,,,,,
NovelmiRNA-610,8.429594449,-3.622673244,2.21111745,-1.638390238,NA,NA,,,0.945479704,,,,,,
NovelmiRNA-157,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.945479704,,,,,,
