"","ENSG00000000003","X0"
"1","ENSG00000000005",0
"2","ENSG00000000419",179
"3","ENSG00000000457",286
"4","ENSG00000000460",57
"5","ENSG00000000938",15431
"6","ENSG00000000971",189
"7","ENSG00000001036",122
"8","ENSG00000001084",142
"9","ENSG00000001167",694
"10","ENSG00000001460",23
"11","ENSG00000001461",405
"12","ENSG00000001497",153
"13","ENSG00000001561",141
"14","ENSG00000001617",2
"15","ENSG00000001626",0
"16","ENSG00000001629",371
"17","ENSG00000001630",3
"18","ENSG00000001631",258
"19","ENSG00000002016",91
"20","ENSG00000002079",0
"21","ENSG00000002330",50
"22","ENSG00000002549",3497
"23","ENSG00000002586",850
"24","ENSG00000002587",7
"25","ENSG00000002726",1
"26","ENSG00000002745",3
"27","ENSG00000002746",0
"28","ENSG00000002822",198
"29","ENSG00000002834",9319
"30","ENSG00000002919",650
"31","ENSG00000002933",4
"32","ENSG00000003056",844
"33","ENSG00000003096",2
"34","ENSG00000003137",0
"35","ENSG00000003147",13
"36","ENSG00000003249",18
"37","ENSG00000003393",142
"38","ENSG00000003400",1548
"39","ENSG00000003402",18555
"40","ENSG00000003436",23
"41","ENSG00000003509",85
"42","ENSG00000003756",2712
"43","ENSG00000003987",12
"44","ENSG00000003989",0
"45","ENSG00000004059",674
"46","ENSG00000004139",27
"47","ENSG00000004142",331
"48","ENSG00000004399",583
"49","ENSG00000004455",479
"50","ENSG00000004468",491
"51","ENSG00000004478",416
"52","ENSG00000004487",240
"53","ENSG00000004534",943
"54","ENSG00000004660",473
"55","ENSG00000004700",310
"56","ENSG00000004766",178
"57","ENSG00000004776",2
"58","ENSG00000004777",51
"59","ENSG00000004779",74
"60","ENSG00000004799",158
"61","ENSG00000004809",11
"62","ENSG00000004838",19
"63","ENSG00000004846",0
"64","ENSG00000004848",0
"65","ENSG00000004864",60
"66","ENSG00000004866",54
"67","ENSG00000004897",428
"68","ENSG00000004939",306
"69","ENSG00000004948",0
"70","ENSG00000004961",128
"71","ENSG00000004975",191
"72","ENSG00000005001",2
"73","ENSG00000005007",2675
"74","ENSG00000005020",2999
"75","ENSG00000005022",565
"76","ENSG00000005059",204
"77","ENSG00000005073",0
"78","ENSG00000005075",117
"79","ENSG00000005100",150
"80","ENSG00000005102",7
"81","ENSG00000005108",0
"82","ENSG00000005156",190
"83","ENSG00000005175",276
"84","ENSG00000005187",11
"85","ENSG00000005189",3
"86","ENSG00000005194",127
"87","ENSG00000005206",290
"88","ENSG00000005238",1241
"89","ENSG00000005243",0
"90","ENSG00000005249",1407
"91","ENSG00000005302",1808
"92","ENSG00000005339",6614
"93","ENSG00000005379",180
"94","ENSG00000005381",108
"95","ENSG00000005421",0
"96","ENSG00000005436",67
"97","ENSG00000005448",37
"98","ENSG00000005469",65
"99","ENSG00000005471",11
"100","ENSG00000005483",3042
"101","ENSG00000005486",543
"102","ENSG00000005513",8
"103","ENSG00000005700",285
"104","ENSG00000005801",100
"105","ENSG00000005810",2098
"106","ENSG00000005812",841
"107","ENSG00000005844",9734
"108","ENSG00000005882",49
"109","ENSG00000005884",32
"110","ENSG00000005889",532
"111","ENSG00000005893",5434
"112","ENSG00000005955",829
"113","ENSG00000005961",6128
"114","ENSG00000005981",0
"115","ENSG00000006007",714
"116","ENSG00000006015",141
"117","ENSG00000006016",1
"118","ENSG00000006025",139
"119","ENSG00000006042",1
"120","ENSG00000006047",6
"121","ENSG00000006059",0
"122","ENSG00000006062",211
"123","ENSG00000006071",0
"124","ENSG00000006074",2
"125","ENSG00000006075",8
"126","ENSG00000006114",1566
"127","ENSG00000006116",0
"128","ENSG00000006118",2
"129","ENSG00000006125",2381
"130","ENSG00000006128",0
"131","ENSG00000006194",366
"132","ENSG00000006210",1
"133","ENSG00000006282",134
"134","ENSG00000006283",0
"135","ENSG00000006327",33
"136","ENSG00000006377",0
"137","ENSG00000006432",45
"138","ENSG00000006451",198
"139","ENSG00000006453",38
"140","ENSG00000006459",1981
"141","ENSG00000006468",1
"142","ENSG00000006530",145
"143","ENSG00000006534",543
"144","ENSG00000006555",108
"145","ENSG00000006576",249
"146","ENSG00000006606",0
"147","ENSG00000006607",151
"148","ENSG00000006611",0
"149","ENSG00000006625",40
"150","ENSG00000006634",54
"151","ENSG00000006638",69
"152","ENSG00000006652",1237
"153","ENSG00000006659",0
"154","ENSG00000006695",78
"155","ENSG00000006704",3
"156","ENSG00000006712",581
"157","ENSG00000006715",799
"158","ENSG00000006740",11
"159","ENSG00000006744",262
"160","ENSG00000006747",0
"161","ENSG00000006756",218
"162","ENSG00000006757",24
"163","ENSG00000006788",0
"164","ENSG00000006831",577
"165","ENSG00000006837",1
"166","ENSG00000007001",0
"167","ENSG00000007038",4
"168","ENSG00000007047",327
"169","ENSG00000007062",5
"170","ENSG00000007080",91
"171","ENSG00000007129",262
"172","ENSG00000007168",1244
"173","ENSG00000007171",0
"174","ENSG00000007174",2
"175","ENSG00000007202",1394
"176","ENSG00000007216",0
"177","ENSG00000007237",4744
"178","ENSG00000007255",44
"179","ENSG00000007264",132
"180","ENSG00000007306",0
"181","ENSG00000007312",161
"182","ENSG00000007314",1
"183","ENSG00000007341",60
"184","ENSG00000007350",14
"185","ENSG00000007372",9
"186","ENSG00000007376",143
"187","ENSG00000007384",0
"188","ENSG00000007392",210
"189","ENSG00000007402",69
"190","ENSG00000007516",146
"191","ENSG00000007520",79
"192","ENSG00000007541",203
"193","ENSG00000007545",114
"194","ENSG00000007866",4
"195","ENSG00000007908",0
"196","ENSG00000007923",118
"197","ENSG00000007933",0
"198","ENSG00000007944",1273
"199","ENSG00000007952",1
"200","ENSG00000007968",225
"201","ENSG00000008018",546
"202","ENSG00000008056",2
"203","ENSG00000008083",1206
"204","ENSG00000008086",81
"205","ENSG00000008118",0
"206","ENSG00000008128",67
"207","ENSG00000008130",10047
"208","ENSG00000008196",0
"209","ENSG00000008197",0
"210","ENSG00000008226",52
"211","ENSG00000008256",64
"212","ENSG00000008277",31
"213","ENSG00000008282",282
"214","ENSG00000008283",628
"215","ENSG00000008294",1538
"216","ENSG00000008300",30
"217","ENSG00000008311",12
"218","ENSG00000008323",67
"219","ENSG00000008324",51
"220","ENSG00000008382",46
"221","ENSG00000008394",152
"222","ENSG00000008405",64
"223","ENSG00000008438",607
"224","ENSG00000008441",131
"225","ENSG00000008513",1567
"226","ENSG00000008516",16449
"227","ENSG00000008517",775
"228","ENSG00000008710",364
"229","ENSG00000008735",8
"230","ENSG00000008838",360
"231","ENSG00000008853",139
"232","ENSG00000008869",642
"233","ENSG00000008952",1070
"234","ENSG00000008988",736
"235","ENSG00000009307",3624
"236","ENSG00000009335",644
"237","ENSG00000009413",331
"238","ENSG00000009694",371
"239","ENSG00000009709",0
"240","ENSG00000009724",68
"241","ENSG00000009765",0
"242","ENSG00000009780",75
"243","ENSG00000009790",1919
