Symbol	N3A
A1BG	6.20346423228953
A1BG-AS1	5.45624016542307
A1CF	12.5096658209883
A2M	14.9976070317497
A2M-AS1	7.51413050314855
A4GALT	11.0486220815802
A4GNT	5.57622090095235
AAAS	10.9004530388555
AACS	10.6073649196721
AACSP1	7.727277250922
AADAT	8.52062552136442
AAED1	8.15247458578583
AAGAB	10.8850925710999
AAK1	13.5635121470365
AAMDC	9.07608796028235
AAMP	11.9872900735728
AANAT	5.17990052787033
AAR2	10.5048340125641
AARD	6.57573364378269
AARS	13.0702800087094
AARS2	10.9036606295045
AASDH	10.2239741247727
AASDHPPT	10.3881417791804
AASS	12.4354476981587
AATBC	7.5613343798553
AATF	11.0385204522408
AATK	8.78672937520187
ABALON	7.98658679486852
ABAT	14.6748666585928
ABCA1	12.7005790805766
ABCA10	9.91845151749415
ABCA11P	8.38198713673694
ABCA12	6.57573364378269
ABCA13	5.62300305894757
ABCA2	12.4605938426815
ABCA3	10.5736405358996
ABCA4	8.614610507013
ABCA5	11.9030313882329
ABCA6	10.2348411435187
ABCA7	10.5529130392607
ABCA8	11.1645557782502
ABCA9	9.68524739617657
ABCB1	13.2330633910032
ABCB10	10.4946880344163
ABCB4	7.17046892196795
ABCB6	10.618361269189
ABCB7	10.697234156126
ABCB8	11.4021078112745
ABCB9	8.53911553905818
ABCC1	11.4776122539536
ABCC10	11.2970630233715
ABCC11	5.0271239827666
ABCC2	13.5188887930991
ABCC3	11.2796074582193
ABCC4	12.3220843006745
ABCC5	12.2548695767447
ABCC6	13.7419602967609
ABCC6P1	9.90118787622381
ABCC6P2	8.38198713673694
ABCC8	6.97571453842114
ABCC9	10.3002697427544
ABCD1	10.0550986187702
ABCD2	7.33921183681484
ABCD3	12.3280912896557
ABCD4	12.1218076006505
ABCE1	10.3413482730882
ABCF2	11.1856100121263
ABCF3	11.7190956915801
ABCG1	9.92111660682581
ABCG2	9.46536290009201
ABCG5	6.10929788896929
ABCG8	6.03651069035837
ABHD1	7.48247542892135
ABHD10	11.5095984937175
ABHD11	10.1373338577175
ABHD11-AS1	6.39237146306538
ABHD12	11.1937872931191
ABHD13	9.15803500424951
ABHD14A	9.67580520806364
ABHD14B	12.3600510408367
ABHD15	10.928739746142
ABHD16B	8.65362611342504
ABHD17A	10.3002697427544
ABHD17B	9.90826255339476
ABHD17C	9.65510262136246
ABHD18	10.4929135885251
ABHD2	13.0490651755815
ABHD3	9.35310576281264
ABHD4	11.2476549881249
ABHD5	10.0290115349185
ABHD6	11.7512498491049
ABHD8	9.41713205558281
ABI1	11.3637818251614
ABI2	12.3266039073411
ABI3	9.06046400817549
ABI3BP	11.3864476221832
ABL1	12.7128500145564
ABL2	11.6994712371392
ABLIM1	13.9954467560151
ABLIM2	9.65272377866019
ABLIM3	11.7409102789912
ABO	10.1940872923393
ABR	11.5180785309844
ABRA	5.93939450490112
ABRACL	8.90164400601
ABT1	9.0828229135045
ABTB1	10.7071613621929
ABTB2	11.399351776989
ACAA1	13.8738867773199
ACAA2	13.921120758563
ACACA	11.8460246365081
ACACB	13.612129467921
ACAD10	12.5486839767687
ACAD8	11.7158266590137
ACAD9	11.5904323692347
ACADL	10.8756411879551
ACADM	13.0632497876475
ACADS	11.5624091305244
ACADSB	14.1060468034463
ACADVL	14.3027260719795
ACAN	7.85431073802141
ACAP1	9.2613175679294
ACAP2	11.2276478088882
ACAP3	11.3037809001395
ACAT1	14.0433723850624
ACAT2	9.58031920754012
ACBD3	10.9613704999302
ACBD4	11.4648139212483
ACBD5	11.8330316306374
ACBD6	9.95104183597203
ACCS	11.1000619555696
ACD	9.39794990158785
ACE	12.4043082414367
ACE2	13.5009003098848
ACER2	8.41689942367451
ACER3	10.3940608727444
ACHE	7.04494497290535
ACIN1	12.899726276768
ACKR1	6.55318775760832
ACKR2	7.47024996075053
ACKR3	8.86118973434076
ACKR4	8.63665339281477
ACLY	13.817795422378
ACMSD	12.3273882697067
ACO1	14.0650577081454
ACO2	14.1395750420209
ACOT1	10.3622393365378
ACOT11	12.1263107078044
ACOT12	8.15247458578583
ACOT13	11.5771993043703
ACOT2	11.6026939251443
ACOT4	9.79195002376427
ACOT6	7.32172040234635
ACOT7	12.0409277753199
ACOT8	9.80931367290042
ACOT9	10.4624079400364
ACOX1	14.0464133442107
ACOX2	12.7284608766597
ACOX3	10.8057821583776
ACOXL	6.25035536679509
ACP1	11.1110329703328
ACP2	11.3158688651127
ACP5	12.6976033182209
ACP6	11.0568888485907
ACPP	11.234108794915
ACPT	5.68012596041829
ACRBP	7.46058531631961
ACSBG1	6.39237146306538
ACSBG2	8.07907141284827
ACSF2	14.6456696053746
ACSF3	11.2925669680776
ACSL1	14.1977192177126
ACSL3	11.3144039967689
ACSL4	12.3205754249035
ACSL5	9.46926028367994
ACSL6	9.47260035264878
ACSM1	7.67220104041683
ACSM2A	14.876477932204
ACSM2B	15.2168379366279
ACSM3	12.5186275837094
ACSM5	11.7004215800408
ACSM6	6.93623554744219
ACSS1	12.4076168635732
ACSS2	13.137376944947
ACSS3	12.3729549479925
ACTA1	0.41936061283495
ACTA2	10.8115573807389
ACTA2-AS1	6.72965301949666
ACTB	15.8026150036598
ACTC1	5.31155148004771
ACTG1	14.6398609940179
ACTG1P20	8.16889614205984
ACTG1P4	7.41637294211996
ACTG2	4.7170676011319
ACTL10	8.60806531367422
ACTL6A	9.52021941400105
ACTN1	11.4958402363845
ACTN2	6.70972731992671
ACTN3	4.61724668265467
ACTN4	14.7364045090275
ACTR10	10.8617670082539
ACTR1A	11.8908186077628
