Symbol	B3B
A1BG	6.39237146306538
A1BG-AS1	5.46534726167322
A1CF	11.9565219365404
A2M	15.2291700429911
A2M-AS1	7.55644207670196
A4GALT	11.5292791528595
A4GNT	7.48660796943288
AAAS	11.0850776197707
AACS	10.6367810652401
AACSP1	7.56776338001713
AADAT	7.91534645046854
AAED1	7.88040687737509
AAGAB	10.733049436928
AAK1	13.5782950128265
AAMDC	9.01827551723243
AAMP	12.1914463495282
AANAT	5.01058072901231
AAR2	10.8513020683925
AARD	7.67576828554998
AARS	12.8928774568606
AARS2	11.0377031705423
AASDH	9.68949552154171
AASDHPPT	9.93201626418993
AASS	11.6472078382561
AATBC	8.22253007273428
AATF	10.9918294613173
AATK	9.58746844971895
ABALON	8.14641803835579
ABAT	14.1576491946657
ABCA1	12.2982875195954
ABCA10	9.99295308579207
ABCA11P	8.45795788751662
ABCA12	6.34560165451424
ABCA13	7.06573258283026
ABCA2	13.0127305079507
ABCA3	11.0992824663946
ABCA4	9.09521476204391
ABCA5	11.0708660881691
ABCA6	10.1420001442296
ABCA7	10.6758586043666
ABCA8	11.7887808227223
ABCA9	9.83257931583676
ABCB1	12.6335040341807
ABCB10	10.2653322770974
ABCB4	7.59107212158236
ABCB6	10.7678163341575
ABCB7	10.3452543716825
ABCB8	11.6194101778841
ABCB9	9.10950196631433
ABCC1	11.6794131765828
ABCC10	11.5435663569039
ABCC11	7.01370275133509
ABCC2	13.0063836281786
ABCC3	12.3969946402563
ABCC4	13.1664476518916
ABCC5	11.9856838665364
ABCC6	13.794873102804
ABCC6P1	9.28305395595127
ABCC6P2	8.97614021939435
ABCC8	7.1519733310129
ABCC9	10.7468920321596
ABCD1	10.1153006116619
ABCD2	7.53391181109313
ABCD3	12.2295940647078
ABCD4	12.1767325351948
ABCE1	10.0197159758728
ABCF2	11.2392256604463
ABCF3	11.6673253711523
ABCG1	9.84175532336854
ABCG2	8.80808891520464
ABCG5	6.23180676045825
ABCG8	5.83542395208529
ABHD1	7.99577381970529
ABHD10	11.3640645382939
ABHD11	10.4837650695247
ABHD11-AS1	6.21181221743208
ABHD12	11.3010127586145
ABHD13	8.57098200328297
ABHD14A	10.3602839310144
ABHD14B	12.7253058000473
ABHD15	11.4136402051178
ABHD16B	8.62697115678371
ABHD17A	11.0557960797238
ABHD17B	9.54339762404719
ABHD17C	9.51494614099082
ABHD18	10.2672225409356
ABHD2	13.0278363527613
ABHD3	9.03375131964573
ABHD4	11.0623719360081
ABHD5	9.94725045024492
ABHD6	11.7496507382168
ABHD8	10.1846088065909
ABI1	11.0614486188296
ABI2	12.4017804254659
ABI3	9.32426955540305
ABI3BP	10.9756432944671
ABL1	12.8356520571754
ABL2	11.8291394463341
ABLIM1	13.9401506841838
ABLIM2	9.4791170392297
ABLIM3	11.0740942012686
ABO	10.5971303256163
ABR	12.364254293467
ABRA	6.73227952744483
ABRACL	8.97173699855324
ABT1	9.57430614373194
ABTB1	10.6049208223537
ABTB2	11.0297478013995
ACAA1	14.7496052408345
ACAA2	14.5957447287923
ACACA	12.0375586340339
ACACB	13.5620731611503
ACAD10	12.5050259599992
ACAD8	11.5557595801825
ACAD9	11.55433418577
ACADL	10.4849427874324
ACADM	12.6939742283652
ACADS	12.341788352255
ACADSB	13.6760619301875
ACADVL	15.0170102008244
ACAN	8.86177378563764
ACAP1	9.90002768852962
ACAP2	10.7277009113883
ACAP3	11.5961215970377
ACAT1	13.6535311519016
ACAT2	9.04447807496294
ACBD3	10.7998432664158
ACBD4	11.7806201664994
ACBD5	11.3061464712634
ACBD6	10.1919343384643
ACCS	10.6599081862019
ACD	9.30904775687157
ACE	12.5023673826583
ACE2	13.0790990773551
ACER2	8.3989079496138
ACER3	10.1893732630586
ACHE	7.71880476115264
ACIN1	12.9531440058873
ACKR1	7.03562752509928
ACKR2	7.25977557138247
ACKR3	9.10950196631433
ACKR4	8.10437301349887
ACLY	13.8305273027243
ACMSD	12.1479940104565
ACO1	13.356256611535
ACO2	13.9954467560151
ACOT1	10.4208059599252
ACOT11	11.8799870877122
ACOT12	7.66529081985557
ACOT13	11.4763160440859
ACOT2	11.8319612501672
ACOT4	10.0602670004305
ACOT6	7.67576828554998
ACOT7	12.0020863071
ACOT8	10.079372109843
ACOT9	10.3935825089205
ACOX1	13.849271309993
ACOX2	12.5342228053203
ACOX3	11.0873493893416
ACOXL	6.28313325453764
ACP1	11.0478087414483
ACP2	11.5148413097715
ACP5	12.8824280579269
ACP6	10.7226017620011
ACPP	10.996298841481
ACPT	6.49349613280163
ACRBP	7.57723881225665
ACSBG1	6.03684189883177
ACSBG2	8.04014366431209
ACSF2	14.3820663743125
ACSF3	11.4686472672458
ACSL1	14.7023209948368
ACSL3	11.1218838245887
ACSL4	11.9133049821033
ACSL5	9.35310576281264
ACSL6	8.72354222711561
ACSM1	6.26707878725521
ACSM2A	14.9417795382849
ACSM2B	14.7925134959244
ACSM3	12.3526395152216
ACSM5	10.3980085377263
ACSM6	7.67576828554998
ACSS1	12.3594995276077
ACSS2	13.2359002675973
ACSS3	12.1865191336995
ACTA1	3.09884756653635
ACTA2	11.397630278679
ACTA2-AS1	7.01370275133509
ACTB	16.1981506175293
ACTC1	5.09899293054208
ACTG1	15.1543267391707
ACTG1P20	7.82558590979049
ACTG1P4	7.12912007676494
ACTG2	6.14464486168202
ACTL10	8.4139818129807
ACTL6A	9.38551620035996
ACTN1	12.034198138234
ACTN2	5.87001347982464
ACTN3	5.3380675322662
ACTN4	14.9156979970958
ACTR10	10.4807872379153
