Symbol	A21A
A1BG	6.78591658623327
A1BG-AS1	5.87001347982464
A1CF	11.288373165965
A2M	16.1362844099217
A2M-AS1	7.68056538535282
A4GALT	11.7384230179246
A4GNT	8.24264272765745
AAAS	10.7762072940726
AACS	10.697234156126
AACSP1	5.6555177117452
AADAT	8.36181707194939
AAED1	8.31059094052511
AAGAB	10.9804674345898
AAK1	13.6516245106609
AAMDC	8.71897418766754
AAMP	11.8978898201654
AANAT	5.23906731103324
AAR2	10.7385582175369
AARD	4.8441334494758
AARS	12.8286554810322
AARS2	10.923228512718
AASDH	9.84666175542816
AASDHPPT	10.0777995164646
AASS	11.6564280415714
AATBC	8.12200043290422
AATF	10.9344210870669
AATK	8.84986419651529
ABALON	8.07091575991796
ABAT	13.8861577818827
ABCA1	12.4025978622243
ABCA10	9.97832428769707
ABCA11P	8.21015912779184
ABCA12	7.36197875019307
ABCA13	8.71077073382963
ABCA2	12.7177434217634
ABCA3	11.2083596363282
ABCA4	10.1209879424225
ABCA5	10.969996302543
ABCA6	10.5519945147056
ABCA7	10.9967262049487
ABCA8	11.7869909927953
ABCA9	9.93671383182677
ABCB1	12.5957211934019
ABCB10	9.92232509285087
ABCB4	6.4962956523659
ABCB6	10.5428355252151
ABCB7	9.97521661457868
ABCB8	11.5110175028289
ABCB9	8.75526287455426
ABCC1	12.2098480456219
ABCC10	11.5963283097759
ABCC11	2.72867261950347
ABCC2	12.5541756204314
ABCC3	11.9793658914266
ABCC4	12.3657123778317
ABCC5	12.3729549479925
ABCC6	12.8510073964695
ABCC6P1	8.38790233027903
ABCC6P2	7.94447314293283
ABCC8	6.64164991067829
ABCC9	11.0755092764454
ABCD1	10.2686765913231
ABCD2	6.93096425744984
ABCD3	11.8070200895956
ABCD4	11.9942517691073
ABCE1	10.2088497388442
ABCF2	11.3669477387645
ABCF3	11.4592116717623
ABCG1	10.0756350896509
ABCG2	8.02931604168025
ABCG5	6.87204317006862
ABCG8	4.95500767394632
ABHD1	7.32614415531042
ABHD10	10.7060374715005
ABHD11	10.8569601358959
ABHD11-AS1	6.72965301949666
ABHD12	11.2514578679838
ABHD13	9.20831655279509
ABHD14A	9.04460838772827
ABHD14B	12.1814665581085
ABHD15	10.5834726577334
ABHD16B	8.68518718839264
ABHD17A	11.0421199026673
ABHD17B	9.4469540308464
ABHD17C	9.39597516105778
ABHD18	10.1927926102553
ABHD2	13.3315920688697
ABHD3	9.19382846112532
ABHD4	11.1386365672238
ABHD5	10.035439914041
ABHD6	10.8987651533715
ABHD8	9.5652722070617
ABI1	11.1123035228129
ABI2	12.2588359791959
ABI3	9.4990379384831
ABI3BP	10.6444153576848
ABL1	12.8436849540799
ABL2	11.9067674432828
ABLIM1	14.2817492642463
ABLIM2	10.1123916903302
ABLIM3	11.8813879373335
ABO	10.4368773113387
ABR	12.4131004400728
ABRA	6.78591658623327
ABRACL	8.89394436153239
ABT1	9.6003294886745
ABTB1	10.682219441792
ABTB2	11.1588869651771
ACAA1	12.9576961651907
ACAA2	12.9069947160193
ACACA	12.4204605345235
ACACB	13.0999956941253
ACAD10	12.3571301084123
ACAD8	11.1418762527005
ACAD9	11.3971071735124
ACADL	10.1882392343231
ACADM	11.8138489360485
ACADS	11.4620698290056
ACADSB	12.9830486998251
ACADVL	14.0921816273871
ACAN	9.86381084865979
ACAP1	9.73419908353384
ACAP2	11.0091407915195
ACAP3	11.5551369742027
ACAT1	13.1683305441588
ACAT2	9.05120818778139
ACBD3	10.8194050279929
ACBD4	10.9072139339765
ACBD5	11.3034035743775
ACBD6	10.0711870669133
ACCS	11.2741345833353
ACD	9.26397283477326
ACE	10.1283658423465
ACE2	12.6286232672157
ACER2	8.77125070981302
ACER3	10.4922056809325
ACHE	7.39186177122513
ACIN1	13.041808982768
ACKR1	9.77392862089946
ACKR2	8.12200043290422
ACKR3	8.52294150526615
ACKR4	7.35048943402475
ACLY	14.1576491946657
ACMSD	11.4328967131332
ACO1	13.1030776048154
ACO2	13.5702093379168
ACOT1	9.42511586184866
ACOT11	11.5938470834917
ACOT12	7.243025675136
ACOT13	10.7810000412503
ACOT2	11.0300998377762
ACOT4	9.03890224183307
ACOT6	6.81520467342768
ACOT7	11.7996888288372
ACOT8	9.66455266343168
ACOT9	10.5899837549893
ACOX1	13.3876203475701
ACOX2	11.9038317848159
ACOX3	10.6699938864006
ACOXL	4.8441334494758
ACP1	10.8777533733973
ACP2	11.3526603525409
ACP5	12.6499278237547
ACP6	10.4802329947851
ACPP	10.202837778084
ACPT	6.13103830712544
ACRBP	7.20661137717728
ACSBG1	5.74657899155007
ACSBG2	6.84426199742924
ACSF2	13.6739787772934
ACSF3	11.1989394597339
ACSL1	14.0616076736558
ACSL3	10.9515664033585
ACSL4	12.7544782782115
ACSL5	9.95391849202696
ACSL6	8.71517691392061
ACSM1	7.7193031547039
ACSM2A	14.3540773671082
ACSM2B	14.4060643478127
ACSM3	11.1600022453714
ACSM5	10.8094619938253
ACSM6	6.94357040648931
ACSS1	12.5427674455926
ACSS2	12.7681872580528
ACSS3	11.7545688021902
ACTA1	2.97937864956396
ACTA2	11.5500475862684
ACTA2-AS1	7.01143964279981
ACTB	16.6807203382782
ACTC1	5.89620521461774
ACTG1	15.7145568648752
ACTG1P20	7.89400659928504
ACTG1P4	6.74492402173341
ACTG2	4.06154135542564
ACTL10	8.22178399651456
ACTL6A	9.64624023811447
ACTN1	12.5457257607603
ACTN2	4.55192005547689
ACTN3	4.3336488472657
ACTN4	15.2773657224748
ACTR10	10.6758586043666
