Symbol	N2A
A1BG	6.46984186769513
A1BG-AS1	5.71969581119942
A1CF	12.1852840679802
A2M	15.4753536401584
A2M-AS1	7.45005241203118
A4GALT	11.1619222394208
A4GNT	7.3004690630739
AAAS	11.1233143522475
AACS	10.3804090116477
AACSP1	7.88164627715338
AADAT	8.63789134214625
AAED1	8.01909205364194
AAGAB	10.7596058042261
AAK1	13.6357262975402
AAMDC	8.92357345180944
AAMP	11.997008648957
AANAT	5.61918482693611
AAR2	10.5458213563866
AARD	5.96938646912092
AARS	12.8916181690276
AARS2	10.9463770928784
AASDH	10.0480725561348
AASDHPPT	10.1689137844387
AASS	12.4680538205333
AATBC	8.0342330640899
AATF	10.8159512368543
AATK	9.24010899004113
ABALON	7.71223023865006
ABAT	14.4591424988544
ABCA1	12.4293773115979
ABCA10	9.9051360363759
ABCA11P	8.39344989842649
ABCA12	6.62108370856007
ABCA13	5.49083874519035
ABCA2	12.9159087210712
ABCA3	11.009284578234
ABCA4	8.27100348120826
ABCA5	11.9113617729972
ABCA6	10.4658403081922
ABCA7	10.8081096995922
ABCA8	11.4125558847862
ABCA9	9.83128313944881
ABCB1	12.8674040503082
ABCB10	10.1426632321496
ABCB4	6.89417024438398
ABCB6	10.5180190858612
ABCB7	10.5713416123082
ABCB8	11.5908423333916
ABCB9	8.85473872780103
ABCC1	11.8469969297544
ABCC10	11.3893760749261
ABCC11	3.86022465941826
ABCC2	13.0000852811842
ABCC3	11.2577223281702
ABCC4	12.5219425198689
ABCC5	12.0375586340339
ABCC6	13.6667393987122
ABCC6P1	10.7277009113883
ABCC6P2	8.69967522777181
ABCC8	6.71031443481032
ABCC9	10.4644868096641
ABCD1	10.0315286893229
ABCD2	7.56756554953572
ABCD3	12.4783144622219
ABCD4	12.0188581643131
ABCE1	10.4294373289438
ABCF2	10.9798285248293
ABCF3	11.5049179207071
ABCG1	9.66604753883853
ABCG2	9.30946009674254
ABCG5	6.1050668939854
ABCG8	3.49109133738276
ABHD1	7.3004690630739
ABHD10	11.5174761945667
ABHD11	10.2706290569387
ABHD11-AS1	6.55614293841939
ABHD12	10.9599149164912
ABHD13	9.37243888666576
ABHD14A	9.38158355987808
ABHD14B	12.4371561740177
ABHD15	10.956924806845
