Symbol	N8B
A1BG	5.9978895122841
A1BG-AS1	5.1594832623573
A1CF	12.353610765382
A2M	15.242799982849
A2M-AS1	7.25783098131089
A4GALT	11.0105242934906
A4GNT	8.42118733517803
AAAS	11.0615914309478
AACS	10.5491372883583
AACSP1	6.53043296461608
AADAT	8.54650057940619
AAED1	7.92767500719866
AAGAB	10.8124487843822
AAK1	13.4671194020374
AAMDC	9.04408777420552
AAMP	12.0684626230051
AANAT	4.99029879574591
AAR2	10.4205454930838
AARD	6.50110453966706
AARS	12.8139143873666
AARS2	11.1083659421954
AASDH	9.78814954150018
AASDHPPT	10.3478127811116
AASS	12.0801212253804
AATBC	7.95740493371095
AATF	11.0587305547743
AATK	10.4924849849354
ABALON	7.43788103412873
ABAT	14.6456696053746
ABCA1	11.8946556977814
ABCA10	9.55866901088289
ABCA11P	8.0439828600645
ABCA12	6.56098794275287
ABCA13	6.56098794275287
ABCA2	13.1103335565787
ABCA3	10.9916159105189
ABCA4	9.10377575284196
ABCA5	11.3311629135901
ABCA6	9.58863300164833
ABCA7	10.3380242013244
ABCA8	10.4126097782602
ABCA9	8.86916371648136
ABCB1	12.7530096579411
ABCB10	10.2858471108239
ABCB4	6.99111121128026
ABCB6	10.5183092514412
ABCB7	10.6073649196721
ABCB8	11.4250823254642
ABCB9	8.80702851999374
ABCC1	11.6475531069837
ABCC10	11.2642857813225
ABCC11	4.91423245967346
ABCC2	13.4030996787592
ABCC3	12.3908167636996
ABCC4	12.946194753751
ABCC5	11.9222615065602
ABCC6	13.7057683873921
ABCC6P1	10.1434389518714
ABCC6P2	8.79953378905007
ABCC8	7.38013486873612
ABCC9	9.94875010474677
ABCD1	10.1470983048061
ABCD2	6.76388810001173
ABCD3	12.5321505685972
ABCD4	12.146023337156
ABCE1	10.1689137844387
ABCF2	11.0721053299466
ABCF3	11.6648759246473
ABCG1	9.79273046494955
ABCG2	9.71409280019233
ABCG5	6.6837821911627
ABCG8	7.39517015467573
ABHD1	7.26990187917282
ABHD10	11.5035429786745
ABHD11	10.4606127638798
ABHD11-AS1	6.74030433060901
ABHD12	11.3642312121053
ABHD13	9.00682931558465
ABHD14A	10.4230142766524
ABHD14B	12.5173581934699
ABHD15	10.8432161415056
ABHD16B	9.02376422303352
ABHD17A	10.9143679902037
ABHD17B	9.72269891514153
ABHD17C	9.81533338058496
ABHD18	10.3939042816366
ABHD2	13.236891743276
ABHD3	9.14280401636181
ABHD4	11.2287976187641
ABHD5	9.91117567103104
ABHD6	11.688026430096
ABHD8	9.69493774108643
ABI1	11.442692195294
ABI2	12.3442532149785
ABI3	9.39047576775663
ABI3BP	11.4115109144806
ABL1	12.7746277984886
ABL2	11.4896487258953
ABLIM1	13.878310912166
ABLIM2	9.4763147301163
ABLIM3	11.2004081676865
ABO	11.3680353972243
ABR	12.7608321593239
ABRA	5.56989753217414
ABRACL	8.67890357846032
ABT1	9.1999857625933
ABTB1	10.8093408311164
ABTB2	11.0577292851787
ACAA1	14.1527024338518
ACAA2	13.7309069504034
ACACA	11.6207442197364
ACACB	13.5859745740503
ACAD10	12.5277305497266
ACAD8	11.417214315995
ACAD9	11.5517535668614
ACADL	10.9727918756043
ACADM	13.0036498911843
ACADS	11.8052515688704
ACADSB	13.7454957850603
ACADVL	14.5663776950314
ACAN	8.98111313745562
ACAP1	9.40720738335463
ACAP2	11.0247174318502
ACAP3	11.4300838713076
ACAT1	13.9401506841838
ACAT2	9.12304659106243
ACBD3	10.9599149164912
ACBD4	11.6397561362967
ACBD5	11.7110908588202
ACBD6	10.079138605728
ACCS	10.8653609310548
ACD	9.34788874308262
ACE	12.4225215936858
ACE2	13.2868722410349
ACER2	8.6852903173873
ACER3	10.2185458112558
ACHE	6.88536296468828
ACIN1	12.9830486998251
ACKR1	7.38013486873612
ACKR2	8.08755668055758
ACKR3	8.81425258823291
ACKR4	7.81095538444072
ACLY	13.5886378957859
ACMSD	12.0550489081655
ACO1	13.8835311496852
ACO2	14.1725201554654
ACOT1	9.26155209993329
ACOT11	12.1298993939708
ACOT12	8.03335482442949
ACOT13	11.5492377125071
ACOT2	11.8279612518955
ACOT4	9.7319254148881
ACOT6	7.68782653398707
ACOT7	12.0579169200269
ACOT8	9.78166977194037
ACOT9	10.3645897069789
ACOX1	13.9832678407633
ACOX2	12.9190886260117
ACOX3	11.0577292851787
ACOXL	5.08884217003472
ACP1	11.0794140560644
ACP2	11.3809344363381
ACP5	12.642024604637
ACP6	10.5516962035533
ACPP	11.3076819516151
ACPT	5.65949343024722
ACRBP	7.45284344310836
ACSBG1	5.79529149656564
ACSBG2	7.79908451715742
ACSF2	14.5216421182411
ACSF3	11.2495463585907
ACSL1	14.1395750420209
ACSL3	11.2209174735028
ACSL4	11.6173165960465
ACSL5	9.30149911858615
ACSL6	8.81425258823291
